x1;x2;x3;x4;x5;x6;x7;x8
-0.00013326;0.00026177;0.0010993;0.0018336;0.0021091;0.002223;0.0022332;0.0020363
-0.00084179;-0.0010111;-0.0010707;-0.00094444;-0.00079376;-0.00061009;-0.00044534;-0.00017306
-0.0007661;-0.00053523;0.00016161;0.00089768;0.0012868;0.0015816;0.0017036;0.0016591
-0.0003014;-0.00037652;-0.00045118;-0.00052884;-0.00068462;-0.00084503;-0.00089858;-0.00082181
-0.00058928;-0.00085749;-0.001135;-0.0011712;-0.0011282;-0.0010387;-0.00095886;-0.00093714
-0.00061836;-0.00078283;-0.00088089;-0.00076459;-0.00059269;-0.00036554;-0.00020084;-0.00018268
-0.00054858;-0.00052184;-0.00028586;-0.0000328;0.0000314;0.00013785;0.00020345;0.00017946
-0.0010661;-0.00061821;0.00066158;0.0021049;0.0029825;0.0036678;0.0042861;0.0050702
-0.00077457;-0.00054696;0.00014528;0.00080678;0.00098029;0.0010756;0.0012398;0.0013682
-0.00074968;-0.00032166;0.00085626;0.0021473;0.0028942;0.0036133;0.0043832;0.0051491
-0.00071536;-0.0013597;-0.0023629;-0.0029545;-0.003058;-0.0030271;-0.0028892;-0.0026619
-0.0004675;-0.000548;-0.00054228;-0.00042373;-0.00030912;-0.00019112;-0.00018603;-0.00024005
-0.00072811;-0.0014544;-0.0025834;-0.0031499;-0.0030859;-0.0029;-0.0026647;-0.002392
-0.00086471;-0.00049499;0.0004584;0.0012908;0.0015586;0.0017242;0.0018435;0.0019869
-0.0000488;-0.00053799;-0.0014096;-0.0019889;-0.0021125;-0.0020979;-0.0020135;-0.0019023
-0.00060902;-0.00080727;-0.0010012;-0.0011001;-0.0011578;-0.001068;-0.00086077;-0.00060089
-0.00042803;-0.00069359;-0.0010469;-0.0012045;-0.0012186;-0.0011875;-0.0010952;-0.00095474
0.0022411;0.003409;0.004888;0.0054942;0.0053747;0.0047228;0.0038502;0.0028245
-0.00088957;-0.0015303;-0.0024122;-0.0027524;-0.0025828;-0.0022813;-0.0020446;-0.0017635
-0.00088957;-0.0015303;-0.0024122;-0.0027524;-0.0025828;-0.0022813;-0.0020446;-0.0017635
-0.00018747;-0.00054138;-0.0011319;-0.0015783;-0.0018591;-0.0019837;-0.0018561;-0.0016851
-0.00016819;-0.00061894;-0.0014753;-0.0021121;-0.0022668;-0.0022879;-0.002254;-0.0021704
-0.0011623;-0.00060909;0.00088797;0.0023126;0.0029493;0.003599;0.0042571;0.0049218
0.00039372;-0.0000136;-0.00094209;-0.0017913;-0.0022155;-0.0025395;-0.0027612;-0.0029059
-0.00039745;-0.00091418;-0.0017559;-0.0021829;-0.0021007;-0.0019301;-0.0018351;-0.0018295
-0.0000832;0.00089954;0.002847;0.0045188;0.0054451;0.0061972;0.0067222;0.0070067
-0.0013427;-0.0010909;-0.00014964;0.00094186;0.001487;0.0017503;0.0017178;0.0015963
-0.0013218;-0.002223;-0.0034606;-0.0039022;-0.0035821;-0.0030166;-0.0024936;-0.0020799
0.00057393;0.0021556;0.0051055;0.0076157;0.0090483;0.010012;0.010551;0.0107
-0.00059035;-0.00045926;-0.0000174;0.00046097;0.00067561;0.00078483;0.00084531;0.00092382
-0.0010038;-0.0017315;-0.0027396;-0.0032025;-0.0031536;-0.0028514;-0.002487;-0.0021801
-0.00012469;-0.00054099;-0.0012603;-0.0017213;-0.0019348;-0.00213;-0.002175;-0.0021698
-0.00066572;-0.00082161;-0.00088433;-0.00080449;-0.00076848;-0.00067342;-0.00048374;-0.00027779
-0.00018988;-0.00064242;-0.0014177;-0.0020098;-0.0022853;-0.0023353;-0.0021921;-0.0019957
-0.00099895;-0.0000836;0.0019551;0.0037705;0.0044488;0.0046446;0.0045633;0.0043032
0.0015789;0.0034404;0.0065241;0.0087083;0.0097895;0.010396;0.010329;0.0096305
-0.0008677;-0.0014369;-0.0021832;-0.0024137;-0.0022521;-0.0021181;-0.002089;-0.0018573
0.00016002;-0.00034891;-0.0013592;-0.0022199;-0.0025896;-0.002769;-0.0028909;-0.0029155
0.0045758;0.006891;0.009675;0.010531;0.010096;0.0089163;0.0073781;0.0055735
-0.0012536;-0.00059688;0.0010991;0.0026643;0.0032115;0.0035931;0.004029;0.0045306
-0.00079433;-0.00040498;0.00059041;0.0014887;0.0018125;0.0020583;0.0022609;0.0024657
-0.00082116;-0.00033227;0.00091495;0.00212;0.0025508;0.0025231;0.0022269;0.0020726
-0.00033138;-0.00074513;-0.0014228;-0.0018495;-0.002055;-0.0022437;-0.0022258;-0.0020143
-0.0013618;-0.0027478;-0.0048757;-0.0060701;-0.0062848;-0.0061709;-0.0058319;-0.0052991
-0.0020518;-0.0034672;-0.005329;-0.0059892;-0.005752;-0.0052413;-0.0046276;-0.00379
-0.00000981;-0.0004083;-0.0012449;-0.0018848;-0.0020203;-0.0020533;-0.0019668;-0.001836
-0.0017926;-0.0012997;0.00025306;0.0019395;0.0026625;0.0028759;0.0028099;0.0028254
-0.00052858;-0.0011024;-0.0020025;-0.0025173;-0.0025628;-0.0023275;-0.0020141;-0.0019272
-0.00099219;-0.0016024;-0.0023648;-0.0024484;-0.0020817;-0.0017494;-0.0014629;-0.0012657
-0.001053;-0.0010941;-0.00082892;-0.00046057;-0.0003292;-0.0000868;0.00011286;0.00025751
-0.00036018;-0.00068574;-0.0012122;-0.0016005;-0.0017829;-0.0018408;-0.0017633;-0.0016367
-0.0013539;-0.0025873;-0.004438;-0.0054708;-0.0056477;-0.0054152;-0.0049321;-0.0042884
-0.0016552;-0.0030011;-0.0049916;-0.0060659;-0.0061613;-0.0058243;-0.0052988;-0.0045977
-0.00091956;-0.00096519;-0.00074863;-0.00039591;-0.0002152;-0.00000184;0.00024053;0.00048785
-0.0011052;-0.0024475;-0.0046181;-0.0060021;-0.0064087;-0.0065164;-0.0064197;-0.0060662
-0.0011052;-0.0024475;-0.0046181;-0.0060021;-0.0064087;-0.0065164;-0.0064197;-0.0060662
-0.00035087;-0.00058698;-0.00088794;-0.00093662;-0.00083329;-0.00074429;-0.00064659;-0.00054914
0.0006425;0.00040982;-0.00026439;-0.00092769;-0.0011911;-0.0014094;-0.0016553;-0.0019218
0.0000736;-0.00062225;-0.0019765;-0.0030247;-0.0034055;-0.003643;-0.0037886;-0.0037944
-0.00069425;-0.0014756;-0.0026693;-0.0033221;-0.0034705;-0.0034056;-0.0031759;-0.0029279
-0.00011546;-0.00069312;-0.0017666;-0.0025799;-0.0028218;-0.0028527;-0.0028158;-0.0027897
-0.00013645;-0.00063776;-0.0015548;-0.0022138;-0.0024154;-0.0025346;-0.0026356;-0.0026894
-0.00047104;-0.0012268;-0.0025295;-0.0034194;-0.0036339;-0.0036767;-0.0036439;-0.0034268
-0.0000997;-0.00038314;-0.00087885;-0.0012161;-0.001366;-0.00141;-0.0013156;-0.0012203
-0.00020752;-0.00068249;-0.0015565;-0.0022168;-0.0023898;-0.0023917;-0.0023037;-0.0021481
-0.00091263;0.0000471;0.0021852;0.0040328;0.0046924;0.0049144;0.004871;0.0047525
-0.00046594;-0.0012581;-0.0026159;-0.0034825;-0.0036527;-0.003631;-0.003411;-0.0030323
0.0011572;0.0018799;0.0028156;0.0032267;0.0032688;0.0030643;0.0027687;0.0024421
-0.00039758;-0.00042388;-0.00036463;-0.00034868;-0.00037078;-0.0001432;0.0000429;0.00013567
-0.0012586;-0.00085722;0.00031211;0.0014613;0.0018994;0.0022372;0.0026822;0.0032934
-0.0012586;-0.00085722;0.00031211;0.0014613;0.0018994;0.0022372;0.0026822;0.0032934
0.0021865;0.0041198;0.0071668;0.0093768;0.010539;0.011025;0.010904;0.010148
-0.0014027;-0.0023676;-0.0036995;-0.0042727;-0.0041574;-0.0036897;-0.002984;-0.0021607
0.005479;0.0066676;0.0068724;0.0051496;0.0031776;0.00090956;-0.0012177;-0.0031411
-0.0013336;-0.00096816;0.00014833;0.0012409;0.0016529;0.0019435;0.0021511;0.0023798
-0.0015598;-0.0010734;0.00045095;0.0022113;0.0034505;0.0048103;0.0062523;0.0077526
0.001708;0.0033643;0.0060762;0.0081862;0.0094448;0.010192;0.010422;0.01001
-0.0011769;-0.0019748;-0.003055;-0.0035223;-0.0034848;-0.003241;-0.0029095;-0.0024816
-0.0011977;-0.00064119;0.00085163;0.0023269;0.0030484;0.0037134;0.0044223;0.0052287
-0.0011136;-0.00075637;0.00031007;0.0013902;0.0018269;0.0021383;0.002369;0.0024769
